Symbol,Date,Close,High,Low,Open,Volume
TSLA,2016-01-01,240.01,240.01,240.01,240.01,0
TSLA,2016-01-04,223.41,231.38,219.0,230.72,6827146
TSLA,2016-01-05,223.43,226.89,220.0,226.36,3186752
TSLA,2016-01-06,219.04,220.05,215.98,220.0,3779128
TSLA,2016-01-07,215.65,218.44,213.67,214.19,3554251
TSLA,2016-01-08,211.0,220.44,210.77,217.86,3628058
TSLA,2016-01-11,207.85,214.45,203.0,214.01,4091421
TSLA,2016-01-12,209.97,213.7395,205.31,211.6,3091917
TSLA,2016-01-13,200.31,212.65,200.0,212.01,4126416
TSLA,2016-01-14,206.18,210.0,193.38,202.21,6490741
TSLA,2016-01-15,204.99,205.07,197.25,198.97,5578640
TSLA,2016-01-18,204.99,204.99,204.99,204.99,0
TSLA,2016-01-19,204.72,210.47,200.78,208.71,4038675
TSLA,2016-01-20,198.7,201.28,191.25,199.4,5838608
TSLA,2016-01-21,199.97,203.23,195.02,201.55,3166159
TSLA,2016-01-22,202.55,205.5,199.03,204.8005,3124055
TSLA,2016-01-25,196.38,203.57,195.88,200.06,2698739
TSLA,2016-01-26,193.56,197.82,188.88,196.7,4964180
TSLA,2016-01-27,188.07,193.26,185.77,192.38,3617221
TSLA,2016-01-28,189.7,191.28,182.41,190.79,4592754
TSLA,2016-01-29,191.2,193.74,188.08,189.95,2852289
TSLA,2016-02-01,196.94,199.52,182.75,188.76,5297639
TSLA,2016-02-02,182.78,193.12,180.23,192.42,5773637
TSLA,2016-02-03,173.48,183.94,170.18,183.59,7931362
TSLA,2016-02-04,175.33,175.98,166.99,170.7,4385366
TSLA,2016-02-05,162.6,173.0,157.7442,171.3,9437591
TSLA,2016-02-08,147.99,157.15,146.0,157.105,9312988
TSLA,2016-02-09,148.25,159.79,141.05,142.32,8651648
TSLA,2016-02-10,143.67,154.97,141.74,150.5,10406513
TSLA,2016-02-11,150.47,163.26,147.0,152.0,14252364
TSLA,2016-02-12,151.04,157.01,143.7,155.0,7235783
TSLA,2016-02-15,151.04,151.04,151.04,151.04,0
TSLA,2016-02-16,155.17,162.95,154.11,158.7,5593794
TSLA,2016-02-17,168.68,169.34,156.68,159.0,5825159
TSLA,2016-02-18,166.77,172.95,164.77,172.42,3887574
TSLA,2016-02-19,166.58,167.49,162.5,163.66,2959390
TSLA,2016-02-22,177.74,178.91,169.85,170.12,5060051
TSLA,2016-02-23,177.21,181.73,173.68,176.16,5984374
TSLA,2016-02-24,179.0,179.5,167.84,172.75,5395609
TSLA,2016-02-25,187.43,188.5192,175.2,178.65,5750741
TSLA,2016-02-26,190.34,192.0,185.0,188.7,6065117
