Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV
2000-01-03,48.03,15.7753,,18.52,,1.3149,16.81,14.9688,,37.375,6.9219,26.0,11.735,53.0605,30.7952,344.19,8.875,9.655,31.81,7.5625,,,35.56,,13.75,24.0,,,5.4551,89.375,32.56,82.8497,32.0,47.95,1197.2557,30.5,,,3.76,2.8148,62.875,4.215,17.0,46.75,2.72,,39.38,3.635,15.883,39.75
2000-01-04,46.44,15.4121,,18.5,,1.3399,16.3906,15.13,,35.94,6.875,24.459,10.815,45.9015,30.0464,320.0,8.7975,8.875,31.125,7.1175,,,34.5,,13.28,23.44,,,5.3833,87.4688,32.31,83.6225,31.38,45.27,1134.2598,29.0,,,3.5805,2.8148,62.0,4.18,15.94,44.75,2.75,,38.88,3.605,14.31,38.0
2000-01-05,45.57,15.0208,,17.07,,1.3149,15.0078,14.53,,34.85,6.875,22.54,10.91,44.6382,29.4085,299.625,8.7025,9.0,30.5,6.875,,,33.813,,13.375,23.0,,,5.513,70.5,32.313,80.5311,31.813000000000002,43.87,1102.2593,29.0,,,3.5514,2.7969999999999997,59.19,4.0425,16.405,42.82,2.68,,38.75,3.5833,14.26,37.5
2000-01-06,47.16,15.1324,,17.63,,1.3249,15.36,15.5,,35.31,6.8359,22.17,10.785,41.7746,30.0464,278.125,8.6875,9.095,29.875,7.25,,,34.31,,14.0,23.38,,,5.4412,71.125,33.56,79.3718,32.75,42.4693,1106.2803,29.44,,,3.8813,2.8326,60.75,3.9525,16.75,43.44,2.69,,39.13,3.5417,14.96,37.813
2000-01-07,50.57,15.4401,,18.0,,1.3249,15.39,15.41,,35.35,6.875,22.75,11.035,39.7937,31.6088,238.13,8.765,9.4375,29.38,7.5,,,36.0,,14.065,23.75,,,5.3833,69.0,33.5,77.6716,33.38,43.94,1158.0508,29.75,,,4.0754,2.7969999999999997,62.75,3.875,17.095,42.0,2.595,,40.5,3.5217,16.15,38.63
2000-01-10,50.22,16.1114,,18.07,,1.3549,16.34,16.75,,36.25,7.0938,23.25,11.235,46.4911,32.3576,255.0,9.0775,9.344,30.13,8.8125,,,37.69,,14.22,24.63,,,5.4991,72.56,33.94,79.4491,33.63,44.6,1223.7273,32.0,,,4.6091,2.8711,69.5,3.9075,17.3125,45.0,2.695,,33.0,3.6875,15.585,39.0
2000-01-11,50.38,15.3877,,20.13,,1.4199,16.8,17.5,,37.97,7.0938,23.79,10.5,46.4493,31.4331,285.5,8.97,9.315,30.438000000000002,8.47,,,38.56,,14.22,23.75,,,5.5871,68.75,33.63,81.3812,33.5,45.0,1204.1249,33.94,,,4.8225,2.9259,72.06,4.095,16.78,46.75,2.68,,29.625,3.6767,15.26,39.75
2000-01-12,50.97,15.5791,,20.313,,1.4349,15.69,17.0,,38.0,7.1875,23.67,10.33,45.8173,30.5086,281.0,8.9225,9.25,30.375,7.5,,,39.13,,14.125,24.1875,,,5.6149,65.0625,33.75,82.2314,33.56,45.46,1184.5225,36.81,,,4.8807,2.8444,67.63,4.235,16.875,45.16,2.6953,,28.5,3.625,15.18,39.625
2000-01-13,50.66,15.2442,,19.6875,,1.4049,15.7,18.375,,38.69,7.1172,24.17,10.3,46.0733,30.5641,260.0625,8.515,9.315,30.0,7.6875,,,41.5,,14.4065,24.19,,,5.6727,64.94,33.75,79.9128,33.88,45.62,1218.0309,37.5,,,4.8822,2.8533,64.75,4.7725,16.72,47.875,2.57,,28.375,3.5217,15.2,39.38
2000-01-14,50.38,15.4404,,19.6875,,1.4049,16.66,18.57,,40.5,7.1641,25.0,10.55,45.1435,30.5086,240.0,8.625,9.5,30.25,8.845,,,43.69,,14.625,25.06,,,5.6866,66.75,33.875,75.9713,33.875,46.04,1255.0577,37.75,,,5.5794,2.8326,67.375,4.6875,16.9688,47.88,2.44,,30.25,3.5933,15.67,38.94
2000-01-17,50.38,15.4404,,19.6875,,1.4049,16.66,18.57,,40.5,7.1641,25.0,10.55,45.1435,30.5086,240.0,8.625,9.5,30.25,8.845,,,43.69,,14.625,25.06,,,5.6866,66.75,33.875,75.9713,33.875,46.04,1255.0577,37.75,,,5.5794,2.8326,67.375,4.6875,16.9688,47.88,2.44,,30.25,3.5933,15.67,38.94
