,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV
MMM,1.0,0.9369529258300561,0.9066824448352865,0.8048222114433345,0.9608681209222828,0.9335413186351204,0.9142908876218077,-0.3206752312651869,0.8337627748917517,-0.30147330952878715,0.9692328749622735,0.8445148852825842,0.8893202918294704,0.7602660437367453,0.951909534257324,0.3115137410904237,0.926597079533753,0.8923015217876574,0.750293734393082,0.8187507737355951,0.8782471833648641,0.9284012496198437,0.8398381978778063,0.875191016980156,0.9451717684919498,0.8566013759896267,0.9647424804996034,0.8936822404434017,0.9519323261439997,0.9229781095799202,0.44240176811476956,-0.03953636252546156,0.8763019382932028,0.8527316154809738,-0.5852270764093015,0.9183517065445047,0.966909417026864,0.9534684012138217,0.9193167026046407,0.9361053789321494,0.9351779102163107,0.9714424106292656,0.46997361651070746,0.699565596147937,0.9284713638606439,0.9515578828283816,0.9595041490647735,0.9733711460824107,0.015590843163583888,0.1638381637683136
ABT,0.9369529258300561,1.0,0.9468445237611608,0.8032812473860885,0.9547237462630433,0.9030106855830099,0.8968311337279763,-0.3955917535703441,0.8423983941802382,-0.22134007435349778,0.9385943713646924,0.8773024170192019,0.8530112701760458,0.7472530257600728,0.9378860150286669,0.32591999702453794,0.8908854735760114,0.85820702453565,0.6925087085202573,0.8725909372621325,0.8580405562572802,0.7213748013279785,0.851405149326825,0.9082780369914982,0.9338856261050373,0.7881581239930008,0.9386352547665961,0.6987975977731129,0.9210130640785827,0.8971583729551588,0.3300116571937816,-0.025244959607548793,0.8858857223484361,0.8525227102523348,-0.6267480479420345,0.9306872499911756,0.9005301146558037,0.9429615051254002,0.9326826532385276,0.9571209883622057,0.9250038745377553,0.9618174235637575,0.5565820486846829,0.6761246730814837,0.9445184109652032,0.9225209716177737,0.9593160465853671,0.9326669361643346,0.043792510302234,0.10946459331067547
ABBV,0.9066824448352865,0.9468445237611608,1.0,0.8731108917386101,0.9008550373680305,0.8785128327852592,0.9229049751996752,0.6851689840512041,0.10987171477939066,-0.2803656480875101,0.9175418941144098,0.20274238345548004,0.889384762207319,0.9125234246392951,0.8790229720821918,0.5366739006620374,0.5012546107668111,0.6886079060562278,0.8374878034522227,0.019980779720715776,0.9095011868291543,0.7880150149162027,0.13447956849685178,0.23396831236124865,0.7816808099541482,0.9132638435949266,0.8690975905653326,0.8075284497341833,0.6354769687168423,0.8798603119562753,0.8059222498523273,0.6958333525975046,0.7610646465063351,0.5966489458067576,0.5718233630187671,0.8854344119747877,0.7841216274283964,0.8458705606261728,0.552066301618765,0.9265213590202462,0.820561068076459,0.9260804195514509,-0.4611516759203418,0.8864386131673982,0.9112598430298684,0.9357874082151733,0.8945952063918751,0.8723266463664284,-0.6718850789237788,0.6272786667482273
ABMD,0.8048222114433345,0.8032812473860885,0.8731108917386101,1.0,0.8406010144556211,0.9086792950405114,0.9546469330983215,-0.07161826748034844,0.5823830138369578,-0.09132245545488613,0.850516707097961,0.5151518808955153,0.7073302786800617,0.7469329709500323,0.7418638292230381,0.3308785261689901,0.7224877619121587,0.7001539684083935,0.6064888337879399,0.5276239198839269,0.9632814421399513,0.8101516350251665,0.5717781188683274,0.5841512863513496,0.7794765609432521,0.7415995503478173,0.8644291656910649,0.884200553821548,0.7312293869261328,0.94697954504294,0.47046286855917246,0.12339435060224568,0.747307768165938,0.6307309355905651,-0.35193783609630136,0.7638541745043271,0.8218114844761074,0.7281838080976906,0.6681411801530569,0.7264278276667132,0.775615985841879,0.8150055902363185,0.1570245449777608,0.7640482826589123,0.7912275655350116,0.873153706609367,0.8264793951573921,0.8751207122720792,-0.22072515342979152,0.23490764012969548
ACN,0.9608681209222828,0.9547237462630433,0.9008550373680305,0.8406010144556211,1.0,0.9382974706039917,0.9167832231131121,-0.29881124842872775,0.864419849223347,-0.05852167232870786,0.957152438815131,0.8351533924314777,0.8725685452798563,0.956525875902167,0.9572355168994038,0.8196207990880932,0.921665965510396,0.9216808105550067,0.6959957182459559,0.8516530682234646,0.8751594072179196,0.9353004225967526,0.836224506320132,0.8888818869349359,0.9668763271938757,0.7508581807118866,0.9792550061720199,0.961418188960752,0.9661637769311506,0.9477121067512084,0.2892971182435338,0.07813748583848644,0.8978302068554147,0.8303446767508995,-0.6603268244522214,0.9771462338393466,0.9771841576747621,0.9092386625464335,0.9229294702524043,0.9680385590136881,0.9257748199044539,0.9882632169811307,0.5020139937393958,0.8819529879297988,0.9753287612602964,0.9270021229764467,0.9759186092856036,0.9718928717318591,-0.035171966456362634,0.14163464263585757
ATVI,0.9335413186351204,0.9030106855830099,0.8785128327852592,0.9086792950405114,0.9382974706039917,1.0,0.9689923598087602,-0.26734540232678045,0.7109294363633901,-0.25303840804854705,0.9588016439403437,0.7054646531419496,0.8627371216278769,0.7694886596744417,0.9040989243303372,0.3053785522455294,0.8574411100948788,0.8842527432962551,0.7482682579859459,0.6900729916496865,0.9415315982314096,0.9469069327822665,0.71263577906771,0.7377465196393304,0.9094328618429319,0.8017860987482917,0.9551250135174237,0.9818509243890362,0.9036820370617609,0.9748335729412175,0.4237472479720162,-0.027546410125293876,0.8454179210344555,0.72552109677163,-0.5768728079692638,0.8976156318108222,0.9103294297663149,0.8161354765821799,0.8168705814485387,0.8801225860134753,0.8630847710991029,0.9477297454343379,0.3566615849418738,0.6963903091645316,0.9215564853494651,0.9328293269389091,0.9443139248069073,0.9644960666830337,0.003123365585350865,0.12405630699678415
ADBE,0.9142908876218077,0.8968311337279763,0.9229049751996752,0.9546469330983215,0.9167832231131121,0.9689923598087602,1.0,-0.1377281447900855,0.6802610217224275,-0.13672702156189956,0.946231703729024,0.6921219176690059,0.8397191170647865,0.8069830504359802,0.8684175802995519,0.35717852495758096,0.8209050595359884,0.824339193836752,0.7297962123987123,0.6558788797464189,0.9710390294160037,0.8680793745687189,0.6837498511763251,0.7216660551934946,0.8846812823277787,0.8432463552630342,0.9329124995820997,0.9394430165032923,0.8448856619462936,0.9733426669703024,0.498438593141832,0.10364371384669897,0.8379449187484621,0.7761677738113923,-0.4567101862036731,0.8738038477393769,0.8935210017580147,0.8414487336278023,0.7835634044516726,0.8483587053837682,0.8641806342750775,0.9204301113575424,0.31805248295101557,0.7741988008550041,0.8876465327098649,0.951605337828821,0.9220415687941413,0.9457674468751107,-0.08301916654683064,0.22568854571726968
AMD,-0.3206752312651869,-0.3955917535703441,0.6851689840512041,-0.07161826748034844,-0.29881124842872775,-0.26734540232678045,-0.1377281447900855,1.0,-0.39526570323067745,0.6055495294955064,-0.2696142740428797,-0.419591030687583,-0.3335549831919211,0.03578629451728533,-0.4275213453201533,0.0860535471939064,-0.32025337664861736,-0.3878011813284545,-0.14323763536152578,-0.5001668906470356,-0.1013666024872526,0.8040057896905511,-0.38603335466535527,-0.42457541645942837,-0.2920962678773309,-0.01884300294432917,-0.238245240375671,0.8455019588835877,-0.4055970892153683,-0.23677584072796162,0.3486717046953449,0.6614620314174474,-0.18936035386814234,-0.16179853463695537,0.708538489344264,-0.3206606070434234,0.39527901817915734,-0.15722083375744944,-0.4558420888020302,-0.46270116967715375,-0.24095530671275103,-0.3745895714578855,-0.49255610269309436,0.19155549764839674,-0.4357758717252162,-0.06575489816178516,-0.31901495905425037,-0.27984604815887676,-0.3852359670091292,0.494803502113993
AAP,0.8337627748917517,0.8423983941802382,0.10987171477939066,0.5823830138369578,0.864419849223347,0.7109294363633901,0.6802610217224275,-0.39526570323067745,1.0,0.017168953270949572,0.8106488837938128,0.8491571510311166,0.7187187049344973,0.7769388791020512,0.8809176011648092,0.838355801318302,0.9247602659128464,0.7228967128605831,0.5347034081950506,0.9414401702743205,0.5784559308234953,-0.28845600186967646,0.9526074238795095,0.9406860882360197,0.8648923533943237,0.5922800973899555,0.80437897813746,-0.5243277009351254,0.9143092444657238,0.7231082730832104,0.14542150717535798,0.08586936076607626,0.8066624671435401,0.7662606381245193,-0.6619472922958572,0.8719812348760989,0.7786530444928319,0.8089748597650805,0.9522533112124254,0.882991857013795,0.8886725638236294,0.8592993916554899,0.5890581399986294,0.7196716899180755,0.8198157219862521,0.7784186233933529,0.8568641028878077,0.8191488418140842,-0.013347443818663937,0.11130240493401886
AES,-0.30147330952878715,-0.22134007435349778,-0.2803656480875101,-0.09132245545488613,-0.05852167232870786,-0.25303840804854705,-0.13672702156189956,0.6055495294955064,0.017168953270949572,1.0,-0.2589290979348577,-0.2448973850688037,-0.2722470290787228,0.17947306107079464,-0.3032651962839235,0.3167339733666842,-0.21458179725412335,-0.2869610903326472,-0.26635384539199464,-0.2145866961336545,-0.11715555940144683,-0.6147853302588825,-0.15634354434538322,-0.04415865961562408,-0.14145261408938728,-0.14089159116548353,-0.30987432472158183,-0.5280374138255696,-0.29179856233405616,-0.21732808491487943,0.03783265073682163,0.7031254135416288,-0.0059629905070041605,-0.05841495188609929,0.5009725727352122,-0.11374661468982869,-0.054619660622564105,-0.16656273095899324,-0.2851298605919931,-0.303907186907302,-0.15094443805095464,-0.25828215277714706,-0.20388104691071765,0.2596727112570392,-0.3111903021144001,0.13430540565796076,-0.18140957902417143,-0.24614858589661354,-0.24283504274342144,0.3536747796177728
