Symbol,Date,Close,High,Low,Open,Volume
ABMD,2000-01-03,18.25,18.657,18.25,18.52,185600
ABMD,2000-01-04,17.813,18.5,17.0,18.5,34400
ABMD,2000-01-05,18.0,18.188,16.938,17.07,122800
ABMD,2000-01-06,18.032,18.063,17.625,17.63,84200
ABMD,2000-01-07,17.938,18.25,17.563,18.0,69000
ABMD,2000-01-10,20.5,20.5,17.813,18.07,282600
ABMD,2000-01-11,19.813,20.438,19.25,20.13,106800
ABMD,2000-01-12,19.594,20.313,19.313,20.313,80400
ABMD,2000-01-13,21.0,21.4375,19.6875,19.6875,97400
ABMD,2000-01-14,21.375,22.4375,19.25,19.6875,125000
ABMD,2000-01-17,21.375,22.4375,19.25,19.6875,0
ABMD,2000-01-18,26.0,26.0,22.5,22.5,214400
ABMD,2000-01-19,24.375,26.0,23.6562,24.375,101000
ABMD,2000-01-20,23.5,24.438,23.469,23.53,53400
ABMD,2000-01-21,29.438,30.125,23.5,23.5,598600
ABMD,2000-01-24,31.5,32.5,29.5312,29.5312,542400
ABMD,2000-01-25,29.75,32.25,28.25,31.375,339400
ABMD,2000-01-26,28.875,29.75,28.5,28.5,100400
ABMD,2000-01-27,29.0,29.438,28.5,29.25,155000
ABMD,2000-01-28,29.438,29.5,29.0,29.0,109000
ABMD,2000-01-31,29.25,29.5,23.813,29.32,272800
ABMD,2000-02-01,28.75,29.063,27.75,27.75,120600
ABMD,2000-02-02,28.125,29.0,25.875,28.53,52000
ABMD,2000-02-03,26.75,27.938,25.0,27.938,169200
ABMD,2000-02-04,27.563,28.5,25.688,26.88,50200
ABMD,2000-02-07,29.563,31.375,28.5,30.19,142000
ABMD,2000-02-08,28.375,29.563,28.344,29.19,33200
ABMD,2000-02-09,27.375,29.688,26.125,29.6,30800
ABMD,2000-02-10,29.438,30.219,28.907,28.91,52200
ABMD,2000-02-11,29.5,29.563,28.438,29.07,39400
ABMD,2000-02-14,29.25,29.938,28.875,29.5,20200
ABMD,2000-02-15,32.5,32.563,29.25,29.25,196000
ABMD,2000-02-16,35.375,37.063,32.25,32.5,258799
ABMD,2000-02-17,41.313,41.375,34.938,35.03,378000
ABMD,2000-02-18,40.75,41.688,38.375,40.28,371200
ABMD,2000-02-21,40.75,41.688,38.375,40.28,0
ABMD,2000-02-22,36.938,40.5,36.188,39.25,218000
ABMD,2000-02-23,35.547,37.063,35.375,36.94,129399
ABMD,2000-02-24,35.625,36.375,35.375,35.5,79400
ABMD,2000-02-25,37.625,40.125,36.313,36.44,188200
ABMD,2000-02-28,37.0,37.688,35.625,37.5,233000
ABMD,2000-02-29,36.969,41.0,36.5,37.5,476000
ABMD,2000-03-01,33.625,34.969,33.032,34.06,3240600
ABMD,2000-03-02,32.313,34.125,32.25,34.06,291400
ABMD,2000-03-03,33.875,34.375,32.75,33.38,565000
ABMD,2000-03-06,34.063,34.063,33.75,33.94,341800
ABMD,2000-03-07,32.125,34.0,32.0,34.0,375000
ABMD,2000-03-08,29.5,32.875,28.938,32.85,610400
ABMD,2000-03-09,30.625,30.625,29.625,29.75,755200
ABMD,2000-03-10,30.75,32.0,30.75,30.75,316200
ABMD,2000-03-13,28.313,31.0,26.5,31.0,199000
ABMD,2000-03-14,26.344,28.938,25.375,28.938,366800
ABMD,2000-03-15,22.875,26.625,21.938,26.38,331200
